ID	SubSystem	Description	Current Value	Message	Kept By	Available Domains	Edit?
3582	A/R	Default for customer's Use Order Balance in Credit Avail flag	No		System	"*System, Store"	Yes
3584	A/R	Auto-print backoffice ROA receipt after posting payment	N=Do not print automatically		Terminal	"System, Store, User, *Terminal"	Yes
3585	A/R	Form to use for backoffice received on account (ROA) receipts	Default Backoffice ROA Form		Terminal	*Terminal	Yes
3586	A/R	"WinROA - Enable ""Amount to Pay"" column for short pay situations"	Yes		System	*System	Yes
3587	A/R	ROA - Posting order when applying a payment across all jobs	Job Number		System	*System	Yes
3588	A/R	ROA - allow selection of multiple unapplied documents	Multiples		System	*System	Yes
3602	A/R	Default Customer Activity Note Type when entering new cust act. notes			User	"System, Store, *User, Terminal"	Yes
3604	A/R	Default Customer Activity Note Priority when entering new cust act. note	1		System	"*System, Store, User, Terminal"	Yes
3606	A/R	Customer Activity Note Types that are hidden			User	"*User, Terminal"	Yes
3608	A/R	Display Customer detail when entering new customer activity notes			System	"*System, Store, User, Terminal"	Yes
3847	REPORTS	APP default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
3850	REPORTS	APPC default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
3900	REPORTS	BDI default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
3911	REPORTS	BPO default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
3915	REPORTS	CLEANANX default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
3917	REPORTS	COPYFIELDS default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
3918	REPORTS	COPYRECS default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
3920	REPORTS	COR default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4001	REPORTS	EDM default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4002	REPORTS	EFMA default report view (Ace EFM)	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4003	REPORTS	EFMD default report view (Do it Best EFM)	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4004	REPORTS	EFM default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4005	REPORTS	ELR default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4006	REPORTS	EFMG default report view (Generic EFM)	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4007	REPORTS	EMD default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4008	REPORTS	EFMH default report view (Home Hardware EFM)	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4009	REPORTS	EUUH default report view (Home Hardware EUU)	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4010	REPORTS	EPIP default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4013	REPORTS	EPM default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4016	REPORTS	EPO default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4017	REPORTS	EPOA default report view (Ace EPO)	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4018	REPORTS	EPOD default report view (Do it Best EPO)	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4020	REPORTS	EPOG default report view (Generic EPO)	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4021	REPORTS	EPOH default report view (Home Hardware  EPO)	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4022	REPORTS	ERDC default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4023	REPORTS	ERDCD default report view (Do it Best ERDC)	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4024	REPORTS	ERDCG default report view (Generic ERDC)	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4025	REPORTS	ERF default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4028	REPORTS	ERP default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4029	REPORTS	ERPA default report view (Ace ERP)	AV ELECTRONIC INVOICE		Store	"System, *Store, User, Terminal"	Yes
4030	REPORTS	ERPD default report view (Do it Best ERP)	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4031	REPORTS	EUU default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4032	REPORTS	ERPG default report view (Generic ERP)	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4033	REPORTS	ERPH default report view (Home Hardware ERP)	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4034	REPORTS	EVP default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4035	REPORTS	EVPT default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4036	REPORTS	GLP default report view	DEFAULT		Store	"System, *Store, User, Terminal"	Yes
4038	REPORTS	PCHECK default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4040	REPORTS	QRPRINT default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4043	REPORTS	RA99 default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4046	REPORTS	RAAC default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4049	REPORTS	RAAJ default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4052	REPORTS	RAAL default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4055	REPORTS	RAAN default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4058	REPORTS	RAAU default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4061	REPORTS	RABC default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4064	REPORTS	RAC default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4067	REPORTS	RACH default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4070	REPORTS	RACK default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4073	REPORTS	RACR default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4076	REPORTS	RADS default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4079	REPORTS	RAG default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4082	REPORTS	RAGL default report view	DEFAULT		Store	"System, *Store, User, Terminal"	Yes
4085	REPORTS	RAID default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4088	REPORTS	RAJ default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4091	REPORTS	RAJB default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4094	REPORTS	RAJD default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4097	REPORTS	RAMP default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4100	REPORTS	RAOI default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4103	REPORTS	RAP default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4104	REPORTS	RAP default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4106	REPORTS	RAPC default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4109	REPORTS	RAPU default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4112	REPORTS	RARV default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4115	REPORTS	RATC default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4118	REPORTS	RATJ default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4121	REPORTS	RATL default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4124	REPORTS	RAUC default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4127	REPORTS	RAVA default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4130	REPORTS	RAVC default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4133	REPORTS	RAVH default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4136	REPORTS	RAVM default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4137	REPORTS	RBL Promotion default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4138	REPORTS	RBL Inventory default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4139	REPORTS	RBL Price Change default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4140	REPORTS	RBL Purchasing default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4141	REPORTS	RBL Item Change default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4142	REPORTS	RCCU default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4143	REPORTS	RCAT default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4145	REPORTS	RCIN default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4148	REPORTS	RCK default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4151	REPORTS	RCL default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4154	REPORTS	RDE default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4157	REPORTS	RDF default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4160	REPORTS	RDI default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4163	REPORTS	RDJ default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4166	REPORTS	RDM default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4169	REPORTS	RDS default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4171	REPORTS	REPO default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4172	REPORTS	REPM default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4173	REPORTS	RESH default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4175	REPORTS	RFC default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4178	REPORTS	RFD default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4181	REPORTS	RFI default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4184	REPORTS	RFL default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4187	REPORTS	RFR default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4190	REPORTS	RGBC default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4193	REPORTS	RGBU default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4196	REPORTS	RGC default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4199	REPORTS	RGEN default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4202	REPORTS	RGFS default report view	Default		Store	"System, *Store, User, Terminal"	Yes
4205	REPORTS	RGFV default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4208	REPORTS	RGGC default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4211	REPORTS	RGGD default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4214	REPORTS	RGGG default report view	Default		Store	"System, *Store, User, Terminal"	Yes
4217	REPORTS	RGGL default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4220	REPORTS	RGJ default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4223	REPORTS	RGJG default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4226	REPORTS	RGLA default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4229	REPORTS	RGP default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4232	REPORTS	RGR default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4235	REPORTS	RGRF default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4238	REPORTS	RGSA default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4241	REPORTS	RGST default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4244	REPORTS	RGTR default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4247	REPORTS	RGTX default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4250	REPORTS	RGWS default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4253	REPORTS	RIA default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4254	REPORTS	RIB default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4256	REPORTS	RICU default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4259	REPORTS	RIH default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4262	REPORTS	RIM default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4265	REPORTS	RIO default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4268	REPORTS	RIS default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4271	REPORTS	RIU default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4274	REPORTS	RIV default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4277	REPORTS	RKR default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4278	REPORTS	RLR default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4279	REPORTS	RLA Inventory default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4280	REPORTS	RLA Price Change default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4281	REPORTS	RLA Purchasing default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4282	REPORTS	RLA Transfer default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4283	REPORTS	RMD default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4286	REPORTS	RML default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4289	REPORTS	RMR default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4292	REPORTS	ROA default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4295	REPORTS	ROF default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4298	REPORTS	ROI default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4301	REPORTS	ROO default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4304	REPORTS	ROP default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4307	REPORTS	ROR default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4309	REPORTS	ROV default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4310	REPORTS	RP default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4313	REPORTS	RP99 default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4316	REPORTS	RPA default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4319	REPORTS	RPAC default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4322	REPORTS	RPAD default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4325	REPORTS	RPAG default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4328	REPORTS	RPAH default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4331	REPORTS	RPAJ default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4334	REPORTS	RPAQ default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4337	REPORTS	RPB default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4340	REPORTS	RPC default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4342	REPORTS	RPD Add Promo default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4344	REPORTS	RPD Change Promo Dates default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4346	REPORTS	RPDE default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4349	REPORTS	RPE default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4352	REPORTS	RPEA default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4355	REPORTS	RPEB default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4358	REPORTS	RPEE default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4361	REPORTS	RPEL default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4364	REPORTS	RPEM default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4367	REPORTS	RPEO default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4370	REPORTS	RPET default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4373	REPORTS	RPEU default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4376	REPORTS	RPEW default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4379	REPORTS	RPGL default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4382	REPORTS	RPH default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4385	REPORTS	RPI default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4388	REPORTS	RPM default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4391	REPORTS	RPMSA default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4394	REPORTS	RPO default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4397	REPORTS	RPP default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4398	REPORTS	RPPR default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4400	REPORTS	RPSB default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4403	REPORTS	RPSD default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4406	REPORTS	RPSG default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4409	REPORTS	RPSJ default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4412	REPORTS	RPTX default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4415	REPORTS	RPVA default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4418	REPORTS	RPVC default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4421	REPORTS	RPVM default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4424	REPORTS	RPVT default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4427	REPORTS	RPVX default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4430	REPORTS	RPW2 default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4431	REPORTS	RRA default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4433	REPORTS	RRP default report view	AV DIRECT		Store	"System, *Store, User, Terminal"	Yes
4435	REPORTS	RRV default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4436	REPORTS	RSA default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4439	REPORTS	RSAL default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4442	REPORTS	RSF default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4445	REPORTS	RSH default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4448	REPORTS	RSL default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4451	REPORTS	RSM default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4454	REPORTS	RSO default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4457	REPORTS	RSP default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4458	REPORTS	RSR default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4459	REPORTS	RSRO default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4460	REPORTS	RST default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4463	REPORTS	RTE default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4466	REPORTS	RTL default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4469	REPORTS	RTM default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4471	REPORTS	RTR default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4472	REPORTS	RTX default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4475	REPORTS	RUP default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4478	REPORTS	RUS default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4481	REPORTS	RVE default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4484	REPORTS	RVL default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4486	REPORTS	RVT default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4487	REPORTS	RVU default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4489	REPORTS	SHRINK default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4490	REPORTS	SPLEXP default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4540	REPORTS	UCID default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4560	REPORTS	UCPD default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4600	REPORTS	EIMCSD default report view (Do it Best IMCS Data Collection)	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4601	REPORTS	EPDCD default report view (Do it Best POS Data Collection)	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4602	REPORTS	EOPO default report view (True Value Open PO)	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4603	REPORTS	ESLPO default report view (True Value Ship Later PO)	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4605	REPORTS	RCPR default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4606	REPORTS	RCC default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4607	REPORTS	EDIPO default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4608	REPORTS	EDIRPO default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4609	REPORTS	EDIBTC default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4610	REPORTS	EPMG default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4611	REPORTS	EPCG default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4612	REPORTS	TRURPE default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4613	REPORTS	ETVCAT default report view	*** View Not Found ***		Store	"System, *Store, User, Terminal"	Yes
4700	INET	User interface for e-Store and On-Line Catalog	0=Default		System	"*System, Store"	Yes
4704	INET	Colors for iNet banner area			System	"*System, Store"	Yes
4706	INET	Colors for iNet toolbar area			System	"*System, Store"	Yes
4708	INET	Colors for iNet list on left			System	"*System, Store"	Yes
4710	INET	Label for optional link 1			System	"*System, Store"	Yes
4711	INET	URL for optional link 1			System	"*System, Store"	Yes
4714	INET	Label for optional link 2			System	"*System, Store"	Yes
4715	INET	URL for optional link 2			System	"*System, Store"	Yes
4730	INET	Alignment of item extended description	0=Bottom		System	"*System, Store"	Yes
4900	POS	Signature Capture - Require signature on a bankcard return	Yes		System	"*System, Store"	Yes
4905	POS	Print a store copy receipt for bankcards or gift card activations	No		System	"*System, Store"	Yes
4907	POS	Signature Capture - Print a store copy receipt for charge	No		System	"*System, Store"	Yes
5003	POS	Return to clerk signon after opening the cash drawer	Yes		System	"*System, Store, User, Terminal"	Yes
5004	POS	Retain signon clerk ID in Point-of-Sale?	Yes		System	"*System, Store, Terminal"	Yes
5005	POS	Does this store give Quantity Break Prices	Yes		Store	*Store	Yes
5006	POS	Repricing a transaction checks for price < cost	No		System	*System	Yes
5007	POS	Reprice credit items when transaction is repriced?	No - credit items are not repriced		System	*System	Yes
5008	POS	Apply MSU discount to customer best price that is less than retail	No		System	"*System, Store"	Yes
5009	POS	MSU specific price is always the Best Price	No		System	"*System, Store"	Yes
5010	POS	Change customer when entering loyalty # at end of transaction	Change customer		System	"*System, Store, User, Terminal"	Yes
5011	POS	Prompt for loyalty ID at 'end' should display when?	All customers		System	"*System, Store, User, Terminal"	Yes
5012	POS	"Allow loyalty account in all stores even if ""Cross Store Charges"" = No"	Yes		System	*System	Yes
5020	POS	Print invoice # on offline invoices	Yes		System	*System	Yes
5024	POS	Warn user if Offline POS data is more than this many days old	1		Terminal	"System, Store, *Terminal"	Yes
5026	POS	Clear Offline POS transaction totals after successful upload	Yes		System	"*System, Store, Terminal"	Yes
5027	POS	Deposit Tracking on System	Yes		System	*System	Yes
5031	POS	Display Transfer From/To Store window in POS	No		System	"*System, Store"	Yes
5033	POS	Restrict change of Transfer's status to appropriate store?	No		System	"*System, Store"	Yes
5035	POS	Allow an item marked as non-returnable to be returned with a M/O	Yes		System	"*System, Store"	Yes
5036	AOE	Selling Codes can be entered in Quantity field	No		System	"*System, Store, User, Terminal"	No
5037	AOE	Display tool tip for selling codes available in the quantity field	Yes		User	"System, Store, *User, Terminal"	No
5040	FAX	POS FAX time			System	"*System, Store"	No
5041	FAX	Point-of-Sale FAX cover page default selection	Y=Transmit cover page		System	*System	No
5042	FAX	FAX and batch invoice network printer	0		System	"*System, Store, Terminal"	Yes
5043	FAX	POS FAX memo file			System	"*System, Store"	No
5044	FAX	Print one copy when faxing from POS	No		System	"*System, Store"	No
5045	FAX	Always display POS FAX dialog when faxing	Yes		System	"*System, Store, Terminal"	No
5046	FAX	Enhanced Fax Setup is Completed	No		System	"*System, Store, Terminal"	No
5047	FAX	Enhanced Fax - the image of each fax is retained only for the day sent	Yes		System	*System	Yes
5048	POS	Include store name on POS FAX documents	No		System	"*System, Store"	Yes
5060	PKPS	Subtract Shipped Quantity from QOH in Physical Inventory	Yes		Store	"System, *Store"	Yes
5064	AOE	Ship Via - UPS Worldwide PC Path			Store	*Store	Yes
5065	AOE	Ship Via Table	Shipping Methods		System	"*System, Store"	Yes
5066	AOE	POS Ship Via to use when customer's is blank			System	"*System, Store"	Yes
5069	PKPS	Order release days for Order Entry and ROO Option P	1		System	"*System, Store"	Yes
5070	PKPS	Maximum order dollar amount without automatic order hold	0		System	"*System, Store, User, Terminal"	Yes
5072	PKPS	Maximum % of credit limit for an order without automatic order hold	0		System	"*System, Store, User, Terminal"	Yes
5074	PKPS	Hold orders below gross margin	0		System	"*System, Store, User, Terminal"	Yes
5076	PKPS	Hold orders when account exceeds days past due			System	"*System, Store, User, Terminal"	Yes
5078	PKPS	Hold orders when account over credit limit	No		System	"*System, Store, User, Terminal"	Yes
5080	PKPS	Hold orders when transaction salesperson not equal account salesperson	No		System	"*System, Store, User, Terminal"	Yes
5082	PKPS	Hold orders when transaction tax code does not equal account tax code	No		System	"*System, Store, User, Terminal"	Yes
5084	PKPS	Hold orders when transaction terms code does not equal account terms	No		System	"*System, Store, User, Terminal"	Yes
